Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,5426670,0.0,1.5646216999999751,5426670,0.0,1.7134846999999809,5426670,0.0,1.595205299999975
2,5426670,0.0,1.1946369999999433,5426670,0.0,1.2270486999999548,5426670,0.0,1.2835033000000067
3,5426670,0.0,1.1988620999999284,5426670,0.0,1.1846386999999368,5426670,0.0,1.1806827999999996
4,5426670,0.0,1.2990615000001071,5426670,0.0,1.3358323999999584,5426670,0.0,1.2483322000000499
5,5426670,0.0,1.2164606999999705,5426670,0.0,1.1499359000000595,5426670,0.0,1.2013965999999527
6,5426670,0.0,1.1539595000000418,5426670,0.0,1.1825631000000385,5426670,0.0,1.1379050000000461
7,5426670,0.0,1.1175686999999925,5426670,0.0,1.144668700000011,5426670,0.0,1.2355159999999614
8,5426670,0.0,1.3333048000000645,5426670,0.0,1.2183979000000136,5426670,0.0,1.2227097999999614
9,5426670,0.0,1.173795299999938,5426670,0.0,1.1311914000000343,5426670,0.0,1.147798600000101
10,5426670,0.0,1.171146799999974,5426670,0.0,1.124856799999975,5426670,0.0,1.1181847999999945
11,5426670,0.0,1.1570014000000128,5426670,0.0,1.148469500000033,5426670,0.0,1.1660905999999613
12,5426670,0.0,1.1788654000000633,5426670,0.0,1.1846007999999983,5426670,0.0,1.173335800000018
13,5426670,0.0,1.281513000000018,5426670,0.0,1.2884308999999803,5426670,0.0,1.2838481999999658
14,5426670,0.0,1.1095748999999842,5426670,0.0,1.1377831999999444,5426670,0.0,1.1452363000000787
15,5426670,0.0,1.1644552000000203,5426670,0.0,1.1363426000000345,5426670,0.0,1.1424638999999388
16,5426670,0.0,1.1132487999999512,5426670,0.0,1.1359913999999662,5426670,0.0,1.1376480000000129
17,5426670,0.0,1.1585757999999942,5426670,0.0,1.187830399999939,5427110,0.008108103127700782,1.1487321999999267
18,5426670,0.0,1.220919800000047,5426670,0.0,1.2898303000000624,5426670,0.0,1.2503280999999333
19,5426670,0.0,1.108932100000061,5426670,0.0,1.1331592999999884,5426670,0.0,1.140354900000034
20,5426670,0.0,1.2516180999999733,5426670,0.0,1.1090244000000666,5426670,0.0,1.1278257999999823
21,5426670,0.0,1.1368565000000217,5426670,0.0,1.11218980000001,5426670,0.0,1.179151499999989
22,5426670,0.0,1.1187340999999833,5426670,0.0,1.143087600000058,5426670,0.0,1.1334390000000667
23,5426670,0.0,1.1635701000000154,5426670,0.0,1.1856531999999333,5426670,0.0,1.1526230000000623
24,5426670,0.0,1.1491638999999623,5426670,0.0,1.112246500000083,5426670,0.0,1.1636440000000903
25,5426670,0.0,1.3262653000000455,5426670,0.0,1.2222461999999723,5426670,0.0,1.330132400000025
26,5426670,0.0,1.1111102999999503,5426670,0.0,1.1259736999999177,5426670,0.0,1.1690902999999935
27,5426670,0.0,1.1693275999999742,5426670,0.0,1.1805201000000807,5426670,0.0,1.1717524000000594
28,5426670,0.0,1.155542799999921,5426670,0.0,1.1230438999999706,5426670,0.0,1.1490433000000166
29,5426670,0.0,1.1563459000000194,5426670,0.0,1.13197260000004,5426670,0.0,1.1544091000000662
30,5426670,0.0,1.1299976000000242,5426670,0.0,1.1450786000000335,5426670,0.0,1.1339682999999923
