Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,3817852,0.0,1.6030322000000297,3817852,0.0,1.674383300000045,3817948,0.0025145029194426605,1.568160799999987
2,3817852,0.0,1.344903199999976,3817852,0.0,1.192353599999933,3817948,0.0025145029194426605,1.3879580999999916
3,3817952,0.002619273874419438,1.2343326999999817,3817852,0.0,1.2443519000000833,3817852,0.0,1.2393520000000535
4,3817852,0.0,1.360362499999951,3817852,0.0,1.2830642000000125,3817948,0.0025145029194426605,1.2879487000000154
5,3817852,0.0,1.1944376000000148,3817852,0.0,1.3244742000000542,3817852,0.0,1.1447382999999718
6,3817852,0.0,1.2397763000000168,3817852,0.0,1.2195908999999574,3817852,0.0,1.1917612999999392
7,3817852,0.0,1.2016737000000148,3817852,0.0,1.1849608999999646,3817852,0.0,1.2181571999999505
8,3817852,0.0,1.1880639000000883,3817852,0.0,1.1739443999999821,3817852,0.0,1.2447382000000289
9,3817852,0.0,1.1721883999999818,3817852,0.0,1.1571109999999862,3817852,0.0,1.1488008999999693
10,3817852,0.0,1.1992269999999507,3817852,0.0,1.1474868999999899,3817852,0.0,1.1602437999999893
11,3817852,0.0,1.135553200000004,3817852,0.0,1.1922518999999738,3817852,0.0,1.1483042999999498
12,3817852,0.0,1.1603969000000234,3817852,0.0,1.202425500000004,3817852,0.0,1.2097878999999239
13,3817852,0.0,1.2345540999999685,3817852,0.0,1.1851236999999628,3817852,0.0,1.2309525000000576
14,3817852,0.0,1.1482941000000437,3817852,0.0,1.1785657000000356,3817852,0.0,1.0963481000000002
15,3817948,0.0025145029194426605,1.1319045999999844,3817852,0.0,1.1477601999999933,3817852,0.0,1.1477801999999429
16,3817852,0.0,1.1288965999999618,3817852,0.0,1.1356185000000778,3817852,0.0,1.1532806000000164
17,3817948,0.0025145029194426605,1.1110284000000092,3817948,0.0025145029194426605,1.1515729000000192,3817852,0.0,1.1473920999999336
18,3817852,0.0,1.239611200000013,3817948,0.0025145029194426605,1.2006695000000036,3817852,0.0,1.2523841999999377
19,3817852,0.0,1.1411088999999492,3817852,0.0,1.140602700000045,3817852,0.0,1.1300897999999506
20,3817852,0.0,1.1874853999999004,3817852,0.0,1.1807783000000427,3817852,0.0,1.1540916999999808
21,3817852,0.0,1.1164430999999695,3817852,0.0,1.1695687000000135,3817852,0.0,1.1351783000000069
22,3817852,0.0,1.1386764000000085,3817852,0.0,1.150978900000041,3817948,0.0025145029194426605,1.1492521000000124
23,3817852,0.0,1.1336770000000342,3817948,0.0025145029194426605,1.1445210000000543,3817948,0.0025145029194426605,1.1845387000000756
24,3817852,0.0,1.1807796000000508,3817852,0.0,1.1643291999999974,3817852,0.0,1.1422148000000334
25,3817852,0.0,1.3248131999999941,3817852,0.0,1.306229300000041,3817852,0.0,1.3380392999999913
26,3817852,0.0,1.159632800000054,3817852,0.0,1.1664774999999281,3817948,0.0025145029194426605,1.289294199999972
27,3817948,0.0025145029194426605,1.1778545000000804,3817948,0.0025145029194426605,1.139320800000064,3817852,0.0,1.1547772000000123
28,3817852,0.0,1.1594987999999375,3817852,0.0,1.1310479999999643,3817852,0.0,1.139029599999958
29,3817852,0.0,1.1820858000000953,3817852,0.0,1.2141325000000052,3817852,0.0,1.207216600000038
30,3817852,0.0,1.1507352999999512,3817852,0.0,1.1328012000000172,3817948,0.0025145029194426605,1.216537100000096
