Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,5426795,0.0,1.5678196999999727,5426795,0.0,1.5265315000000328,5426795,0.0,1.890647299999955
2,5426795,0.0,1.3494432999999617,5426795,0.0,1.2035799000000225,5426795,0.0,1.3310876000000462
3,5426795,0.0,1.229981900000098,5426795,0.0,1.195789399999967,5426795,0.0,1.3359455999999454
4,5426795,0.0,1.2913551999999981,5426795,0.0,1.321134700000016,5426795,0.0,1.4053616999999576
5,5426795,0.0,1.1873735000000352,5426795,0.0,1.1903303999999935,5426795,0.0,1.3078027999999904
6,5426795,0.0,1.1379034000000274,5426795,0.0,1.184317999999962,5426955,0.0029483332243064276,1.2006463000000167
7,5426795,0.0,1.135875300000066,5426795,0.0,1.131960999999933,5426795,0.0,1.1818511999999828
8,5426795,0.0,1.1966380999999728,5426795,0.0,1.1874423000000434,5426795,0.0,1.1588387000000466
9,5426795,0.0,1.203955800000017,5426795,0.0,1.122139500000003,5426795,0.0,1.2376519000000599
10,5426795,0.0,1.2129174000000376,5426795,0.0,1.1808611999999812,5426795,0.0,1.134655500000008
11,5426801,0.00011056249591149105,1.1487417000000733,5426795,0.0,1.1219334999999546,5426801,0.00011056249591149105,1.204838900000027
12,5426795,0.0,1.1616267000000562,5426795,0.0,1.1527382000000443,5426795,0.0,1.2056235999999672
13,5426795,0.0,1.2296711999999843,5426795,0.0,1.2128057999999555,5426795,0.0,1.1915690000000723
14,5426795,0.0,1.1245705000000044,5426795,0.0,1.1227389000000585,5426801,0.00011056249591149105,1.1347422000000051
15,5426795,0.0,1.1418727000000217,5426795,0.0,1.1464200000000346,5426795,0.0,1.1393997000000127
16,5426795,0.0,1.1326411000000007,5426795,0.0,1.1396252000000686,5426795,0.0,1.1099068999999417
17,5426795,0.0,1.133933099999922,5426795,0.0,1.1238399999999729,5426795,0.0,1.145890799999961
18,5426955,0.0029483332243064276,1.2391390999999885,5426795,0.0,1.2115631000000349,5426801,0.00011056249591149105,1.222132199999919
19,5426955,0.0029483332243064276,1.1378687000000127,5426795,0.0,1.1164499999999862,5426795,0.0,1.1668631000000005
20,5426795,0.0,1.138179100000002,5426795,0.0,1.1022735999999895,5426795,0.0,1.1971128000000135
21,5426795,0.0,1.1556123999999954,5426795,0.0,1.1230896999999231,5426795,0.0,1.1642041000000063
22,5426795,0.0,1.191548799999964,5426795,0.0,1.1522536999999602,5426795,0.0,1.1490052000000333
23,5426795,0.0,1.1698129000000108,5426801,0.00011056249591149105,1.1942827000000307,5426795,0.0,1.2323983999999655
24,5426795,0.0,1.1952954999999292,5426795,0.0,1.1272409000000607,5426795,0.0,1.1541813999999704
25,5426955,0.0029483332243064276,1.3280598000000055,5426795,0.0,1.3227229999999963,5426795,0.0,1.259606700000063
26,5426795,0.0,1.2304081000000906,5426795,0.0,1.1609333000000106,5426795,0.0,1.20212099999992
27,5426795,0.0,1.1593003000000408,5426795,0.0,1.1844242999999324,5426795,0.0,1.2199406000000863
28,5426795,0.0,1.1945884000000433,5426795,0.0,1.1530231000000413,5426801,0.00011056249591149105,1.2119260999999142
29,5426795,0.0,1.1750845000000254,5426795,0.0,1.1414713000000347,5426795,0.0,1.1596174999999675
30,5426955,0.0029483332243064276,1.2025670999998965,5426795,0.0,1.2047978000000512,5426795,0.0,1.0249822999999196
