Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,17212548,0.0,0.7711675000000469,17212548,0.0,0.7492786999999907,17212548,0.0,0.8128474000000097
2,17212548,0.0,0.7031123999998954,17212548,0.0,0.6881181999999626,17212548,0.0,0.6992740000000595
3,17212548,0.0,0.6893977999999379,17212548,0.0,0.695129100000031,17212548,0.0,0.7447362999999996
4,17212548,0.0,0.7173083000000133,17212548,0.0,0.6885981000000356,17212548,0.0,0.7253646000000344
5,17212548,0.0,0.7377758999999742,17212548,0.0,0.7067951999999877,17212548,0.0,0.8291669000000184
6,17212548,0.0,0.7687683000000334,17212548,0.0,0.7199933000000556,17212548,0.0,0.7342254000000139
7,17212548,0.0,0.9614806000000726,17212548,0.0,0.9071870999999874,17212548,0.0,0.6831790999999612
8,17212548,0.0,0.7030478000000357,17212548,0.0,0.8343304999999646,17212548,0.0,0.7375304000000824
9,17212548,0.0,0.8316577999999026,17212548,0.0,0.7687588000000005,17212548,0.0,0.706870399999957
10,17212548,0.0,0.7291639999999688,17212548,0.0,0.7310639999999466,17212548,0.0,0.7576620999999477
11,17212548,0.0,0.8295967999999903,17212548,0.0,0.764415099999951,17212548,0.0,0.6965052000000469
12,17212548,0.0,0.756855900000005,17212548,0.0,0.6798767999999882,17212548,0.0,0.7627495000000408
13,17212548,0.0,0.6873246999999765,17212548,0.0,0.6831571000000167,17212548,0.0,0.7035842999999886
14,17212548,0.0,0.7077475999999479,17212548,0.0,0.6964348999999856,17212548,0.0,0.6931439999999611
15,17212548,0.0,0.6974462000000585,17212548,0.0,0.6927232000000458,17212548,0.0,0.991698700000029
16,17212548,0.0,0.8318309999999656,17212548,0.0,0.7790477000000919,17212548,0.0,0.7638196999999991
17,17212548,0.0,0.7168611999999257,17212548,0.0,0.725962299999992,17212548,0.0,0.7222741999999016
18,17212548,0.0,0.6865778000000091,17212548,0.0,0.6876306000000341,17212548,0.0,0.7403045999999449
19,17212548,0.0,0.8902955999999449,17212548,0.0,0.8459744000000455,17212548,0.0,0.6696521000000075
20,17212548,0.0,0.7112519999999449,17212548,0.0,0.768841899999984,17212548,0.0,0.7580204000000776
21,17212548,0.0,0.719877600000018,17212548,0.0,0.7136087000000089,17212548,0.0,0.8136203999999907
22,17212548,0.0,0.7274223000000575,17212548,0.0,0.7095261000000619,17212548,0.0,0.6928464000000076
23,17212548,0.0,0.8029844999999796,17212548,0.0,0.8113319999999931,17212548,0.0,0.7237083999999641
24,17212548,0.0,0.7119187999999212,17358264,0.8465684452993246,0.7338814999999386,17212548,0.0,0.7125333999999839
25,17212548,0.0,0.7133923999999752,17212548,0.0,0.6878067999999757,17212548,0.0,0.7359821000000011
26,17212548,0.0,0.7150457999999844,17212548,0.0,0.7209051999999474,17212548,0.0,0.6652344999999968
27,17212548,0.0,0.7169273000000658,17212548,0.0,0.728480799999943,17212548,0.0,0.9054147000000512
28,17212548,0.0,0.6846726999999646,17212548,0.0,0.7187857999999778,17212548,0.0,0.9042875999999751
29,17212548,0.0,0.7500345999999354,17212548,0.0,0.7050156000000243,17367328,0.8992277029525205,0.7450473999999758
30,17212548,0.0,0.76158630000009,17212548,0.0,0.7388002999999799,17212548,0.0,0.7466030000000501
