Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,64,0.0,23.76264059999994,64,0.0,24.945674699999927,64,0.0,23.68212850000009
2,64,0.0,23.074034100000063,64,0.0,23.487006800000017,64,0.0,22.599083699999937
3,64,0.0,22.972840500000075,64,0.0,22.891547499999888,64,0.0,22.66959429999997
4,64,0.0,23.15266130000009,64,0.0,23.011105800000223,64,0.0,22.79390629999989
5,64,0.0,23.321333800000048,64,0.0,22.821184500000072,64,0.0,23.36013170000001
6,64,0.0,23.127409299999954,64,0.0,23.176569900000004,64,0.0,23.3647062
7,64,0.0,23.36273210000013,64,0.0,22.94634000000019,64,0.0,23.691987000000154
8,64,0.0,23.008801999999832,64,0.0,23.245496099999855,64,0.0,23.2296773999999
9,64,0.0,23.507846800000152,64,0.0,23.435950000000048,64,0.0,22.743072499999926
10,64,0.0,23.758578199999874,64,0.0,23.106972999999925,64,0.0,23.430645599999934
11,64,0.0,22.81249170000001,64,0.0,23.826372300000003,64,0.0,23.880125099999987
12,64,0.0,23.461204599999974,64,0.0,23.658068100000037,64,0.0,23.56741020000004
13,64,0.0,23.55478569999991,64,0.0,23.262666500000023,64,0.0,23.371030999999903
14,64,0.0,23.38614819999998,64,0.0,23.060299200000145,64,0.0,23.781284099999993
15,64,0.0,22.54645830000004,64,0.0,23.323686199999884,64,0.0,23.345829399999957
16,64,0.0,22.980422999999973,64,0.0,22.266968300000144,64,0.0,23.478807899999993
17,64,0.0,23.150446099999954,64,0.0,22.867635099999916,64,0.0,23.3263079000003
18,64,0.0,23.222394299999905,64,0.0,24.11117800000011,64,0.0,23.19587249999995
19,64,0.0,23.095479500000238,64,0.0,24.180825200000072,64,0.0,22.80749160000005
20,64,0.0,23.650256699999773,64,0.0,22.84658330000002,64,0.0,22.84346659999983
21,64,0.0,23.258419199999935,64,0.0,22.983817499999986,64,0.0,23.323911899999985
22,64,0.0,23.40466370000013,64,0.0,23.32505519999995,64,0.0,23.17444579999983
23,64,0.0,23.451704800000243,64,0.0,23.13044499999978,64,0.0,23.640138300000217
24,64,0.0,23.21979459999966,64,0.0,22.9513864999999,64,0.0,23.20298189999994
25,64,0.0,23.123536799999783,64,0.0,23.27645819999998,64,0.0,23.86105520000001
26,64,0.0,23.0269502000001,64,0.0,23.81405199999972,64,0.0,24.38652000000002
27,64,0.0,24.689445800000158,64,0.0,23.346875700000055,64,0.0,23.979585300000053
28,64,0.0,23.396393400000306,64,0.0,23.905462299999726,64,0.0,23.523839899999984
29,64,0.0,23.76853680000022,64,0.0,23.137527299999874,64,0.0,23.996473100000003
30,64,0.0,23.73034319999988,64,0.0,23.302208800000244,64,0.0,23.94419039999957
