Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,292,0.0,0.6764137000000119,292,0.0,0.7791855000000396,292,0.0,0.8098324000000048
2,292,0.0,0.6812035000000378,292,0.0,0.5890664000000925,292,0.0,0.6398492000000715
3,292,0.0,0.7157763000000159,292,0.0,0.6372870000000148,292,0.0,0.5968090000000075
4,292,0.0,0.6744476000000077,292,0.0,0.5921297999999524,292,0.0,0.6043109999999388
5,292,0.0,0.6892583999999715,292,0.0,0.6152420999999322,292,0.0,0.6256611000000021
6,292,0.0,0.6295180999999275,292,0.0,0.6170232999999143,292,0.0,0.5966162999999369
7,292,0.0,0.620070999999939,292,0.0,0.6252653999999893,292,0.0,0.5947165999999697
8,292,0.0,0.6135049999999183,292,0.0,0.6171596000000363,292,0.0,0.5791156999999885
9,292,0.0,0.5962397000000692,292,0.0,0.5849028000000089,292,0.0,0.5629712999999583
10,292,0.0,0.6547153000000208,292,0.0,0.6179933999999321,292,0.0,0.6394216999999571
11,292,0.0,0.5736004000000321,292,0.0,0.6036262000000079,292,0.0,0.5815127000000757
12,292,0.0,0.6141096000000061,292,0.0,0.6432366999999886,292,0.0,0.6077724000000444
13,292,0.0,0.6060311999999612,292,0.0,0.6149429000000737,292,0.0,0.633781200000044
14,292,0.0,0.5907262000000628,292,0.0,0.5781800000000885,292,0.0,0.6178669000000809
15,292,0.0,0.6720116999999846,292,0.0,0.6831813000000011,292,0.0,0.739246699999967
16,292,0.0,0.627731600000061,292,0.0,0.5778717000000597,292,0.0,0.6087129000000004
17,292,0.0,0.6552566999999954,292,0.0,0.597629799999936,292,0.0,0.6098729999999932
18,292,0.0,0.5904470000000401,292,0.0,0.5788873999999851,292,0.0,0.5743644000000359
19,292,0.0,0.5969360000000279,292,0.0,0.58376080000005,292,0.0,0.6028687000000446
20,292,0.0,0.6004882999999381,292,0.0,0.5654615999999351,292,0.0,0.5825937999999269
21,292,0.0,0.6748065000000452,292,0.0,0.6687372999999752,292,0.0,0.6392809999999827
22,292,0.0,0.5590380999999525,292,0.0,0.5465986000000385,292,0.0,0.5545716000000311
23,292,0.0,0.5606999999999971,292,0.0,0.5778106000000207,292,0.0,0.5970529999999599
24,292,0.0,0.5421068999999079,292,0.0,0.6684088000000656,292,0.0,0.6202739000000292
25,292,0.0,0.5635484999999107,292,0.0,0.6369647000000214,292,0.0,0.6667851999999357
26,292,0.0,0.6031763999999384,292,0.0,0.6603625000000193,292,0.0,0.718416599999955
27,292,0.0,0.7353897999998935,292,0.0,0.6860689000000093,292,0.0,0.7430626999999959
28,292,0.0,0.8785866999999143,292,0.0,0.8795532000000321,292,0.0,0.7618402000000515
29,292,0.0,0.6831258999999363,292,0.0,0.6528289000000314,292,0.0,0.6030611000001045
30,292,0.0,0.8096795999999813,292,0.0,0.6399679999999535,292,0.0,0.6694797999999764
