Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,28,0.0,0.5773039000000608,28,0.0,0.606926299999941,28,0.0,0.72861690000002
2,28,0.0,0.5853667000000087,28,0.0,0.6595806000000266,28,0.0,0.7211746000000403
3,28,0.0,0.5941583000000037,28,0.0,0.7339216999999962,28,0.0,0.632868300000041
4,28,0.0,0.5584488000000647,28,0.0,0.7545194000000492,28,0.0,0.7092070999999578
5,28,0.0,0.5415825999999697,28,0.0,0.6095794000000296,28,0.0,0.6227601000000504
6,28,0.0,0.5474437999999964,28,0.0,0.5958481999999776,28,0.0,0.6398676000000023
7,28,0.0,0.5720992999999908,28,0.0,0.6189097000000174,28,0.0,0.6811030000000073
8,28,0.0,0.7147840000000087,28,0.0,0.7071009000000004,28,0.0,0.6358122000000321
9,28,0.0,0.6242061000000376,28,0.0,0.5864827000000332,28,0.0,0.6637971999999763
10,28,0.0,0.6655475000000024,28,0.0,0.674030900000048,28,0.0,0.6048266999999896
11,28,0.0,0.7003157999999985,28,0.0,0.6275317000000769,28,0.0,0.661442700000066
12,28,0.0,0.8132150999999794,28,0.0,0.7217544000000089,28,0.0,0.7023097000000007
13,28,0.0,0.6072033000000374,28,0.0,0.5988710999999967,28,0.0,0.5688656999999466
14,28,0.0,0.589820799999984,28,0.0,0.5946704000000409,28,0.0,0.6651974999999766
15,28,0.0,0.6028479999999945,28,0.0,0.6156449000000066,28,0.0,0.5943464000000631
16,28,0.0,0.5984874999999192,28,0.0,0.5919691000000284,28,0.0,0.6551498000000038
17,28,0.0,0.6298329999999623,28,0.0,0.6013100999999779,28,0.0,0.6547724999999218
18,28,0.0,0.6759985999999572,28,0.0,0.7671877000000222,28,0.0,0.675658999999996
19,28,0.0,0.6548916000000418,28,0.0,0.5633402000000842,28,0.0,0.5868324000000484
20,28,0.0,0.6045187999999371,28,0.0,0.5930137999999943,28,0.0,0.6804384000000709
21,28,0.0,0.5826837000000751,28,0.0,0.5925950999999259,28,0.0,0.5601555000000644
22,28,0.0,0.6298513000000412,28,0.0,0.556939199999988,28,0.0,0.5933596999999509
23,28,0.0,0.6627171000000089,28,0.0,0.5996261999999888,28,0.0,0.5944799000000103
24,28,0.0,0.6358228000000281,28,0.0,0.5930084000000306,28,0.0,0.6444958999999244
25,28,0.0,0.696439699999928,28,0.0,0.768941199999972,28,0.0,0.6723174999999628
26,28,0.0,0.5875263000000359,28,0.0,0.5559705999999096,28,0.0,0.635593100000051
27,28,0.0,0.5924748999999565,28,0.0,0.5995423000000528,28,0.0,0.6151719000000639
28,28,0.0,0.6404777999999851,28,0.0,0.6237127000000555,28,0.0,0.5823468000000958
29,28,0.0,0.5567337999999609,28,0.0,0.5906337999999778,28,0.0,0.5671010999999453
30,28,0.0,0.5833638999999948,28,0.0,0.5723100000000159,28,0.0,0.5761287000000266
