Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,8,0.0,0.617429799999968,8,0.0,0.7763003999999682,8,0.0,0.6610699000000295
2,8,0.0,0.6721848999999338,8,0.0,0.5835744999999406,8,0.0,0.8353193000000374
3,8,0.0,0.6428867000000764,8,0.0,0.7085419000000002,8,0.0,0.854459800000086
4,8,0.0,0.6209479999999985,8,0.0,0.6199521999999433,8,0.0,0.6017362000000048
5,8,0.0,0.7721013000000312,8,0.0,0.643164400000046,8,0.0,0.6094541999999592
6,8,0.0,0.6786464999998998,8,0.0,0.6202570000000378,8,0.0,0.7872461000000612
7,8,0.0,0.6444649000000027,8,0.0,0.6556567999999743,8,0.0,0.59179139999992
8,8,0.0,0.7290179000000307,8,0.0,0.641150400000015,8,0.0,0.6328575000000001
9,8,0.0,0.5535184999999956,8,0.0,0.5456355999999687,8,0.0,0.5283693000000085
10,8,0.0,0.5395679999999174,8,0.0,0.5298610999999482,8,0.0,0.5506880000000365
11,8,0.0,0.5637539000000515,8,0.0,0.5258039999999937,8,0.0,0.6217378000000053
12,8,0.0,0.6558874999999489,8,0.0,0.6678149000000531,8,0.0,0.6458708000000115
13,8,0.0,0.5953978999999663,8,0.0,0.6156985999999733,8,0.0,0.5957889000000023
14,8,0.0,0.5849104999999781,8,0.0,0.5804548999999497,8,0.0,0.5873665999999957
15,8,0.0,0.5843444999999292,8,0.0,0.5815274999999929,8,0.0,0.5879261000000042
16,8,0.0,0.5869984000000841,8,0.0,0.5852664999999888,8,0.0,0.565531999999962
17,8,0.0,0.5693952999999965,8,0.0,0.5735604000000194,8,0.0,0.6017994999999701
18,8,0.0,0.6609346000000187,8,0.0,0.658859600000028,8,0.0,0.6809278999999151
19,8,0.0,0.6448294000000487,8,0.0,0.5689045000000306,8,0.0,0.5908567999999832
20,8,0.0,0.5921875000000227,8,0.0,0.5956875000000537,8,0.0,0.6084415999999919
21,8,0.0,0.5896803000000546,8,0.0,0.5804749999999785,8,0.0,0.5797526000000062
22,8,0.0,0.5844213999999965,8,0.0,0.5997019999999793,8,0.0,0.614942699999915
23,8,0.0,0.6161764999999377,8,0.0,0.6000209000000041,8,0.0,0.6270633999999973
24,8,0.0,0.6022206999999753,8,0.0,0.6152677999999696,8,0.0,0.5820250000000442
25,8,0.0,0.7245805999999675,8,0.0,0.7198726000000306,8,0.0,0.715076100000033
26,8,0.0,0.5790215000000671,8,0.0,0.5951208999999835,8,0.0,0.6353629999999839
27,8,0.0,0.6002355000000534,8,0.0,0.607460500000002,8,0.0,0.6047912000000224
28,8,0.0,0.6014169000000038,8,0.0,0.5927334000000428,8,0.0,0.6050451000000976
29,8,0.0,0.5846236999999519,8,0.0,0.5722427999999127,8,0.0,0.6051277000000255
30,8,0.0,0.5609931999999844,8,0.0,0.6437161999999716,8,0.0,0.5859111999999413
