Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,6,0.0,1.631871300000057,6,0.0,1.743112300000007,6,0.0,1.682656300000076
2,6,0.0,1.638643399999978,6,0.0,1.6675836000000572,6,0.0,1.6352795000000242
3,6,0.0,1.7186702000000196,6,0.0,1.7630442999999332,6,0.0,1.709956199999965
4,6,0.0,1.6875872000000527,6,0.0,1.6485708999999815,6,0.0,1.719377100000088
5,6,0.0,1.657258699999943,6,0.0,1.724834900000019,6,0.0,1.6416921000000002
6,6,0.0,1.65737630000001,6,0.0,1.7026783000000023,6,0.0,1.7327726999999413
7,6,0.0,1.6521493000000191,6,0.0,1.6382205000001022,6,0.0,1.588171099999954
8,6,0.0,1.7309602999999925,6,0.0,1.723131100000046,6,0.0,1.6767073999999411
9,6,0.0,1.61050130000001,6,0.0,1.6589820000000373,6,0.0,1.713837900000044
10,6,0.0,1.6038929000000053,6,0.0,1.693643399999928,6,0.0,1.6084701000000905
11,6,0.0,1.6329966000000695,6,0.0,1.6399754000000257,6,0.0,1.655846800000063
12,6,0.0,1.7128880000000208,6,0.0,1.7194732000000386,6,0.0,1.6677378999999064
13,6,0.0,1.704221700000062,6,0.0,1.6230057000000215,6,0.0,1.6564706999999999
14,6,0.0,1.5734911000000693,6,0.0,1.8025541000000658,6,0.0,1.6139550999999983
15,6,0.0,1.7163722000000234,6,0.0,1.711899199999948,6,0.0,1.747165300000006
16,6,0.0,1.6353718999999955,6,0.0,1.6774754999999004,6,0.0,1.759495099999981
17,6,0.0,1.711227200000053,6,0.0,1.75633270000003,6,0.0,1.741937699999994
18,6,0.0,1.7917088000000376,6,0.0,1.7522718000000168,6,0.0,2.0021908999999596
19,6,0.0,1.7382154000000583,6,0.0,1.643960399999969,6,0.0,1.6556104999999661
20,6,0.0,1.6620929000000615,6,0.0,1.7353479999999308,6,0.0,1.660016799999994
21,6,0.0,1.752077399999962,6,0.0,1.6584758000000193,6,0.0,1.676232099999993
22,6,0.0,1.6692318999999998,6,0.0,1.7082930999999917,6,0.0,1.65087630000005
23,6,0.0,1.612519900000052,6,0.0,1.8468156000000135,6,0.0,1.7764620000000377
24,6,0.0,1.7487608000000137,6,0.0,1.6538627999999562,6,0.0,1.713249000000019
25,6,0.0,1.7428006000000096,6,0.0,1.8932576999999355,6,0.0,1.911207500000046
26,6,0.0,1.831797100000017,6,0.0,1.8653602000000546,6,0.0,1.6882029999999304
27,6,0.0,1.577524399999902,6,0.0,1.752008499999988,6,0.0,1.6827905999999757
28,6,0.0,1.739036599999963,6,0.0,1.7781772999999248,6,0.0,1.7010497999999643
29,6,0.0,1.7121076999999332,6,0.0,1.6744537999999238,6,0.0,1.8455569000000196
30,6,0.0,1.6578478999999788,6,0.0,1.8876843000000463,6,0.0,1.8571716999999808
