Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,90400,1.687289088863892,1.5404676999999083,90800,2.1372328458942635,1.5596419999999398,90700,2.0247469066366706,1.6616164000000708
2,89900,1.124859392575928,1.5826979999999367,90260,1.5298087739032622,1.5257767000000513,90460,1.7547806524184477,1.5377485999999863
3,90600,1.9122609673790776,1.6070715999999265,90300,1.574803149606299,1.5394256999999243,90800,2.1372328458942635,1.633348700000056
4,90700,2.0247469066366706,1.5568890999999212,90570,1.8785151856017999,1.6621711000000232,90370,1.6535433070866141,1.6318811999999525
5,90860,2.204724409448819,1.59119069999997,90760,2.092238470191226,1.5740766999999778,89900,1.124859392575928,1.5847195000000056
6,90600,1.9122609673790776,1.5849518999999646,90700,2.0247469066366706,1.5678579000000354,88900,0.0,1.5792232000000013
7,90660,1.9797525309336335,1.564496599999984,90900,2.249718785151856,1.5562783999999965,90090,1.3385826771653544,1.5217316999999184
8,90600,1.9122609673790776,1.5685545000000047,90700,2.0247469066366706,1.639187199999924,90760,2.092238470191226,1.6862429999999904
9,91150,2.530933633295838,1.6156523000000789,90820,2.159730033745782,1.6788506000000325,91060,2.4296962879640045,1.6377045000000408
10,91070,2.440944881889764,1.5930094999999937,90090,1.3385826771653544,1.5227818000000752,90090,1.3385826771653544,1.5397315999999819
11,90090,1.3385826771653544,1.5546875999999656,88900,0.0,1.5175911999999698,88900,0.0,1.564386900000045
12,90520,1.8222722159730036,1.5874359000000595,90160,1.4173228346456692,1.6386267999999973,90090,1.3385826771653544,1.6102123000000574
13,89700,0.8998875140607425,1.5394162000000051,91000,2.3622047244094486,1.649114299999951,88900,0.0,1.5021616000000222
14,90690,2.013498312710911,1.5952255000000832,90570,1.8785151856017999,1.5946351999999706,88900,0.0,1.541031500000031
15,90860,2.204724409448819,1.4935494000000062,90870,2.2159730033745784,1.562875599999984,90800,2.1372328458942635,1.601661500000091
16,90600,1.9122609673790776,1.5763286000000107,90920,2.272215973003375,1.4804705999999896,90090,1.3385826771653544,1.5758072999999513
17,90260,1.5298087739032622,1.5367347999999765,90090,1.3385826771653544,1.6560756000000083,88900,0.0,1.723657800000069
18,88900,0.0,1.7123767999999018,90690,2.013498312710911,1.6262704000000667,90800,2.1372328458942635,1.6517387000000099
19,89100,0.22497187851518563,1.5021275999999943,90800,2.1372328458942635,1.4845579999999927,90260,1.5298087739032622,1.555722199999991
20,88900,0.0,1.5676046999999471,90090,1.3385826771653544,1.518636000000015,90960,2.317210348706412,1.5221976000000268
21,89800,1.0123734533183353,1.6568430999999464,90860,2.204724409448819,1.5040900999999849,91060,2.4296962879640045,1.581425500000023
22,90320,1.5973003374578176,1.5833374999999705,90500,1.799775028121485,1.58894290000012,89900,1.124859392575928,1.5891712000000098
23,90800,2.1372328458942635,1.5513328000000683,90460,1.7547806524184477,1.6037450000001172,89100,0.22497187851518563,1.5086194000000432
24,90160,1.4173228346456692,1.6004407000000356,90090,1.3385826771653544,1.6671622999999727,90090,1.3385826771653544,1.530739100000119
25,91070,2.440944881889764,1.6268878999999288,88900,0.0,1.6877452000001085,90760,2.092238470191226,1.5974807000000055
26,90300,1.574803149606299,1.4892549999999574,90560,1.8672665916760405,1.5037445999998909,88900,0.0,1.538685199999918
27,90090,1.3385826771653544,1.6044521000001168,90720,2.047244094488189,1.517040100000031,89800,1.0123734533183353,1.6450846999998703
28,90660,1.9797525309336335,1.5102756999999656,89700,0.8998875140607425,1.5212091999999302,90920,2.272215973003375,1.5476971999999023
29,90090,1.3385826771653544,1.553936799999974,90660,1.9797525309336335,1.469468900000038,90950,2.305961754780652,1.4976838000000043
30,88900,0.0,1.5016536000000542,90970,2.328458942632171,1.4704646999998658,90090,1.3385826771653544,1.536754799999926
