Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,2478746,2.342855208212049,2.2501831999998103,2475554,2.211063409526499,2.069246999999905,2486578,2.6662240576184497,2.032020100000409
2,2481302,2.4483877387384485,2.0698825999998007,2461802,1.6432686678210837,2.02135939999971,2471004,2.023202292979114,2.034575799999857
3,2482612,2.502475225041102,2.189771700000165,2476556,2.252434143324407,1.9649970000000394,2467574,1.8815839128126237,2.368678700000146
4,2477840,2.305448137532504,2.0120139000000563,2486218,2.6513603209245904,2.386756200000036,2486346,2.656645205082407,2.4733329000000595
5,2486822,2.676298368044287,2.156748300000345,2474594,2.1714267783428753,1.9168229000001702,2479774,2.3852994341045135,2.129957099999956
6,2480010,2.395043439270488,2.17328869999983,2460914,1.6066047839762312,2.425546299999951,2470752,2.0127976772934124,2.0298313000002963
7,2469106,1.9448373700764905,2.0517619999995986,2479106,2.3577189449059084,2.226649400000042,2466950,1.8558201025432681,2.002490299999863
8,2462280,1.66300440709793,2.113726999999926,2466138,1.822294118667119,2.150248599999941,2476816,2.2631690642699716,2.0335830999997597
9,2483008,2.518825335404347,2.3184125999996468,2486690,2.670848331256539,2.1664143000002696,2473364,2.1206423446388567,1.9951544999998987
10,2480496,2.4151094838071976,2.131533700000091,2483248,2.5287344932002536,2.299922400000014,2459212,1.5363323399402642,2.0953097000001435
11,2481536,2.458049167589457,2.069873699999789,2488898,2.7620125829788744,2.02671539999983,2481940,2.4747295832125658,2.076346399999693
12,2471454,2.041781963846438,2.095307899999625,2476050,2.2315423356380384,2.2360413999999764,2459356,1.5422778346178079,1.9949862999997094
13,2479638,2.3796842446868336,2.2260059000000183,2466494,1.8369927027310464,2.0660899999998037,2474536,2.169032065208864,2.085998600000039
14,2477334,2.2845563298461355,2.21880259999989,2477866,2.3065216296270603,2.1317275000001246,2477492,2.2910798587284407,2.1774108999998134
15,2478228,2.3214679426358855,2.353374299999814,2485246,2.6112282318511713,2.068247000000156,2472746,2.0951262633143988,1.9715375999999196
16,2471926,2.061269974178386,2.1245090000002165,2469616,1.965894330392791,2.316572400000041,2477820,2.3046223743828453,1.997894599999654
17,2476558,2.2525167196393725,1.9924743999999919,2486736,2.6727475865007544,2.0192207999998573,2470738,2.0122196430886516,2.086034600000403
18,2475298,2.200493641210866,2.1492600999999922,2484714,2.589262932070246,1.989784299999883,2484858,2.59520842674779,2.012429699999757
19,2466550,1.8393048395500913,2.023551100000077,2471818,2.0568108531702283,2.0050317000000177,2467992,1.8988423626404933,2.0819618999998966
20,2467824,1.8919059521833592,1.952554400000281,2474312,2.1597835179326856,2.0198476999999,2481404,2.4525991308017088,2.0859553999998752
21,2482638,2.5035487171356587,2.0384227999998075,2470272,1.9929793617016005,2.1845894000002772,2474276,2.1582971442632997,1.959047499999997
22,2467032,1.8592057314568693,2.1414316999998846,2477672,2.29851172707537,2.0022361999999703,2483822,2.552433895595462,2.0510409999997137
23,2476438,2.2475621407414197,2.1174761000002036,2474016,2.1475622233177347,2.1006353999996463,2492634,2.916265139335145,1.9792216999999255
24,2468382,1.9149447440588405,1.9736166999996385,2469318,1.9535904594628741,2.014193299999988,2479480,2.373160715804529,2.023294999999962
25,2474112,2.151525886436097,1.9731399000002057,2476462,2.2485530565210103,2.1156654999999773,2478842,2.3468188713304117,2.024754699999903
26,2474374,2.1623433836966277,1.9758280000000923,2479916,2.3911623524670915,2.0386121999999887,2486844,2.677206707508912,1.9675133999999161
27,2477726,2.3007412875794486,1.9610232999998516,2469390,1.956563206801646,2.0112965000002987,2480250,2.404952597066394,2.2691085999999814
28,2469460,1.9594533778254517,2.186326800000188,2473540,2.1279090603558544,1.9302042999997866,2477866,2.3065216296270603,1.9913785999997344
29,2472500,2.084969376573595,2.0718478000003415,2473366,2.1207249209538226,1.9300461000002542,2484448,2.5782802821797834,2.1476698999999826
30,2480212,2.403383647082042,2.073743200000081,2484788,2.592318255723984,2.095360900000287,2477684,2.299007184965165,2.054200800000217
