Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,1855928,0.0,6.211054100000183,1855928,0.0,6.471468100000038,1855928,0.0,6.228255999999874
2,1855928,0.0,6.046471999999994,1855928,0.0,6.1189094999999725,1855928,0.0,5.864732399999866
3,1855928,0.0,6.520194200000333,1855928,0.0,6.594683299999815,1855928,0.0,6.000608800000009
4,1855928,0.0,6.126537299999654,1855928,0.0,6.23153050000019,1855928,0.0,6.022603699999763
5,1855928,0.0,6.218200799999977,1855928,0.0,6.375854600000366,1855928,0.0,6.4953669999999875
6,1855928,0.0,6.172824799999944,1855928,0.0,6.192719699999998,1855928,0.0,6.15030009999964
7,1855928,0.0,6.034812800000054,1855928,0.0,6.056307299999844,1855928,0.0,6.108803900000112
8,1855928,0.0,6.417936899999859,1855928,0.0,6.091442899999947,1855928,0.0,6.018182199999956
9,1855928,0.0,6.045177999999851,1855928,0.0,6.098121200000151,1855928,0.0,6.165077299999666
10,1855928,0.0,6.100655400000051,1855928,0.0,6.219943800000237,1855928,0.0,6.448414099999809
11,1855928,0.0,6.073141299999861,1855928,0.0,6.057949300000018,1855928,0.0,6.142584100000022
12,1855928,0.0,5.9796354000000065,1855928,0.0,6.075035300000309,1855928,0.0,6.06231310000021
13,1855928,0.0,6.708628100000169,1855928,0.0,6.245895799999744,1855928,0.0,6.44688479999968
14,1855928,0.0,6.026024900000266,1855928,0.0,6.093298500000401,1855928,0.0,6.043241600000329
15,1855928,0.0,6.406566699999985,1855928,0.0,6.341158599999744,1855928,0.0,7.002487600000222
16,1855928,0.0,6.300913900000069,1855928,0.0,6.367258599999786,1855928,0.0,6.298460500000147
17,1855928,0.0,6.133616600000096,1855928,0.0,6.1599226000003,1855928,0.0,6.067233900000247
18,1855928,0.0,6.245407599999908,1855928,0.0,6.099890400000277,1855928,0.0,6.053737599999749
19,1855928,0.0,6.5793078000001515,1855928,0.0,6.41685439999992,1855928,0.0,5.955979300000308
20,1855928,0.0,6.166291000000001,1855928,0.0,5.9865592000001016,1855928,0.0,6.375942500000292
21,1855928,0.0,6.629799899999853,1855928,0.0,6.576435899999979,1855928,0.0,6.859548299999915
22,1855928,0.0,6.052284100000179,1855928,0.0,6.144850300000144,1855928,0.0,6.35279700000001
23,1855928,0.0,6.2996601000004375,1855928,0.0,6.3818670999999085,1855928,0.0,6.215146099999856
24,1855928,0.0,5.944603200000074,1855928,0.0,6.086599799999931,1855928,0.0,6.080826399999751
25,1855928,0.0,6.145113900000069,1855928,0.0,6.185469099999864,1855928,0.0,7.170807299999979
26,1855928,0.0,6.672653800000262,1855928,0.0,6.019384900000205,1855928,0.0,6.15304819999983
27,1855928,0.0,6.359922999999981,1855928,0.0,6.140848900000037,1855928,0.0,5.856595300000208
28,1855928,0.0,8.41548069999999,1855928,0.0,8.517785000000003,1855928,0.0,5.6890156999998
29,1855928,0.0,6.086633899999924,1855928,0.0,6.011289600000055,1855928,0.0,5.300367499999993
30,1855928,0.0,5.8824014000001625,1855928,0.0,5.827668800000083,1855928,0.0,5.458879100000104
